City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kontokalion,GR,39.6453,19.8494,66.06,82,20,0.0,few clouds
1,Euclides Da Cunha,BR,-10.5075,-39.0158,68.22,97,100,3.51,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,52.32,37,75,11.5,broken clouds
3,Mataura,NZ,-46.1927,168.8643,54.48,91,100,0.72,overcast clouds
4,Albany,US,42.6001,-73.9662,57.45,81,60,1.01,broken clouds
5,Victor Harbor,US,42.6001,-73.9662,57.45,81,60,1.01,broken clouds
6,Carnarvon,US,42.6001,-73.9662,57.45,81,60,1.01,broken clouds
7,Terlizzi,IT,41.1311,16.5453,63.14,86,66,2.04,broken clouds
8,Nanyamba,TZ,-10.6833,39.8333,64.76,96,5,4.5,clear sky
9,Meiktila,MM,20.8667,95.8667,91.98,49,54,14.03,broken clouds
10,Suzhou,CN,31.3114,120.6181,79.68,29,0,8.01,clear sky
11,College,US,64.8569,-147.8028,48.52,68,75,5.75,shower rain
12,Bethel,US,64.8569,-147.8028,48.52,68,75,5.75,shower rain
13,Saryozek,KZ,44.3583,77.9753,70.61,34,40,6.31,scattered clouds
14,Harper,LR,4.375,-7.7169,78.82,82,100,4.14,overcast clouds
15,Urumqi,CN,31.3114,120.6181,79.68,29,0,8.01,clear sky
16,Clyde River,CA,62.456,-114.3525,52.32,37,75,11.5,broken clouds
17,Rawson,AR,-43.3002,-65.1023,46.44,80,0,10.74,clear sky
18,Broome,US,42.6001,-73.9662,57.45,81,60,1.01,broken clouds
19,Loikaw,MM,20.8667,95.8667,91.98,49,54,14.03,broken clouds
20,Rikitea,NZ,-46.1927,168.8643,54.48,91,100,0.72,overcast clouds
21,Kharan,PK,28.5833,65.4167,86.14,12,0,6.17,clear sky
22,Karratha,US,42.6001,-73.9662,57.45,81,60,1.01,broken clouds
23,Vaini,TO,-21.2,-175.2,77.16,65,20,10.36,few clouds
24,Gallup,US,64.8569,-147.8028,48.52,68,75,5.75,shower rain
25,Bredasdorp,ZA,-34.5322,20.0403,60.87,37,82,4.43,broken clouds
26,Jodhpur,IN,26.2867,73.03,90.7,27,0,14.56,clear sky
27,Izamal,MX,20.9333,-89.0167,69.84,87,0,3.58,clear sky
28,Ushuaia,AR,-43.3002,-65.1023,46.44,80,0,10.74,clear sky
29,Kahului,US,64.8569,-147.8028,48.52,68,75,5.75,shower rain
30,Leh,IN,26.2867,73.03,90.7,27,0,14.56,clear sky
31,Majene,ID,-3.5403,118.9707,85.75,67,98,3.98,overcast clouds
32,Berlevag,NO,70.8578,29.0864,35.55,75,40,21.85,scattered clouds
33,Hithadhoo,MV,-0.6,73.0833,84.33,73,100,17.05,overcast clouds
34,Palmer,US,64.8569,-147.8028,48.52,68,75,5.75,shower rain
35,Ketchikan,US,64.8569,-147.8028,48.52,68,75,5.75,shower rain
36,Ilhabela,BR,-10.5075,-39.0158,68.22,97,100,3.51,overcast clouds
37,Trinidad,BO,-14.8333,-64.9,65.84,56,100,8.41,overcast clouds
38,Roros,NO,70.8578,29.0864,35.55,75,40,21.85,scattered clouds
39,Ippy,CF,6.2679,21.2247,69.87,93,94,3.51,overcast clouds
